,pNum,max_arc_right,max_arc_left
0,1.0,85.25550043529527,76.96644680327594
1,2.0,88.39230722219867,76.96812569739004
2,3.0,90.15493763701592,89.36817640350714
3,4.0,75.26424941324171,66.01646716859429
4,5.0,53.70497516907765,64.18586069929671
5,6.0,85.30159125475357,83.1089908756842
6,7.0,80.33051458533726,81.4313381613667
7,8.0,58.71216971076102,53.37768695517571
8,9.0,60.95545877034139,58.932987690681834
9,10.0,78.32405039033121,52.54395900146419
10,11.0,80.10600253774238,71.5149882598212
11,12.0,88.04908256516818,68.84859104114639
12,13.0,78.36252580559268,72.14030652128652
13,14.0,82.3755289742339,76.33303794247743
14,15.0,98.62230260025333,89.26611061800675
15,16.0,77.23698853645233,74.91721541222307
16,17.0,55.434054897983714,48.24488389005575
17,18.0,82.03482881554592,75.030342715078
18,19.0,76.1339260829708,73.60339600660127
19,20.0,77.52390168884122,56.70748562917343
20,21.0,73.74889599339545,68.27069395218118
21,22.0,64.93716356216757,69.16920374096075
22,23.0,83.57886414170734,86.24129055247919
23,24.0,91.73853049811048,69.33226591174041
24,25.0,66.66602441573984,65.95602522539781
25,26.0,88.54368998414505,86.17210226520154
26,27.0,76.13718483125146,66.14049833434723
27,28.0,90.56968814952377,74.23186552318623
28,29.0,94.4650563640916,83.64995980229646
29,30.0,61.2539280961362,51.94408327985317
30,31.0,80.40246087742806,77.70998158646799
31,32.0,43.29287998337784,41.077607080812946
32,33.0,69.03643650849789,66.56791610286633
33,34.0,91.76909662895214,74.88018446602244
34,35.0,85.73099797784954,84.29095741505401
35,36.0,94.87316271981832,75.78143944610412
36,37.0,90.07016008150208,72.0868561961539
37,38.0,83.88595125335289,92.1420695495506
38,39.0,111.29134234980488,82.25599277242335
39,40.0,82.70089521043228,81.09381084403613
40,41.0,65.76836796939543,63.92913762429575
41,42.0,82.58815887019648,78.04328939762584
42,43.0,88.04945534438542,79.28818133535495
43,44.0,72.67800800912185,61.554761038753554
44,45.0,64.09602623456776,81.01348853510409
45,46.0,112.03846758674848,110.159313431368
46,47.0,81.82022813189218,63.177180204893496
47,48.0,83.13665746877902,84.77126559433819
48,49.0,93.16768055965419,91.2596453954876
49,50.0,89.23183940785006,73.04030402587061
50,51.0,85.04064326668161,75.47840542347203
51,52.0,62.30056365396144,57.536379493418444
52,53.0,73.37204622269344,67.79472591758592
53,54.0,78.98578350934605,72.60950758654411
54,55.0,91.18947306203934,83.35976686848143
55,56.0,76.79157744647554,83.393608735494
56,57.0,67.11835008404657,59.500690554119124
57,58.0,81.04944632492757,78.39282781681352
58,59.0,91.94652152108172,84.17653066444802
59,60.0,91.24789558247602,81.95969507599271
60,61.0,97.76589729880236,74.8129465124043
